Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Connecticut,1990,$        9620605,$        8636450,$        9885651,$        8880382,$         838040,$              0,$         652528,$         619640,$          44754,$         930556,$         912871,$          17685,$         285704,$         278176
Connecticut,1991,$        9816213,$        8745397,$       11114721,$        9806921,$         882603,$              0,$         697710,$         679601,$          47889,$        1014856,$         999828,$          15028,$         326946,$         320207
Connecticut,1992,$       11784062,$       10137346,$       11627201,$        9957439,$         939282,$              0,$         765691,$         749814,$          48312,$        1041787,$        1005488,$          36299,$         286592,$         276453
Connecticut,1993,$       12744056,$       11011362,$       12507289,$       10582334,$         969332,$              0,$         777739,$         753925,$          58839,$        1118200,$        1065344,$          52856,$         318646,$         294486
Connecticut,1994,$       12043674,$       11336814,$       12963972,$       11207150,$        1035842,$              0,$         830563,$         803879,$          64008,$        1159633,$        1125258,$          34375,$         246110,$         233718
Connecticut,1995,$       13717638,$       12059596,$       13575807,$       11603180,$        1112785,$             31,$         898873,$         879207,$          69278,$        1220171,$        1192414,$          27757,$         278885,$         265838
Connecticut,1996,$       14349487,$       12356981,$       13529622,$       11735554,$        1126659,$              0,$         892262,$         871382,$          83234,$        1264065,$        1232754,$          31311,$         289629,$         274045
Connecticut,1997,$       15147251,$       13642094,$       13826021,$       11951814,$        1128156,$            179,$         909575,$         889541,$          71053,$        1253680,$        1220849,$          32831,$         276176,$         255328
Connecticut,1998,$       16520398,$       14452190,$       14516273,$       12680829,$        1259703,$           1931,$        1010379,$         933937,$          87070,$        1379083,$        1358718,$          20365,$         324265,$         311145
Connecticut,1999,$       16437468,$       14920047,$       15213482,$       13339654,$        1388026,$            980,$        1112559,$        1067304,$          92937,$        1437482,$        1415524,$          21958,$         302691,$         290267
Connecticut,2000,$       18007128,$       16232388,$       16723201,$       14855976,$        1504166,$              0,$        1195717,$        1142668,$         107838,$        1472612,$        1459633,$          12979,$         346546,$         338256
Connecticut,2001,$       17750445,$       16283522,$       18189210,$       16098051,$        2061094,$         334130,$        1396992,$        1175798,$         121188,$        1519801,$        1508050,$          11751,$         389197,$         381582
Connecticut,2002,$       16993167,$       15381824,$       20117270,$       17536472,$        2218473,$         326045,$        1554972,$        1316708,$         122152,$        1749306,$        1719794,$          29512,$         394552,$         371930
Connecticut,2003,$       18240537,$       16216542,$       20721194,$       17885021,$        2533120,$              0,$        1733502,$        1371321,$         107250,$        1915043,$        1890454,$          24589,$         483510,$         474106
Connecticut,2004,$       18990056,$       16894418,$       19528569,$       16674464,$        2166041,$              0,$        1836177,$        1583154,$         142947,$        1631790,$        1615115,$          16675,$         555328,$         552913
Connecticut,2005,$       20456647,$       18563229,$       19926096,$       17159028,$        2345299,$              1,$        1947668,$        1731950,$         159932,$        1638356,$        1621082,$          17274,$         512156,$         508815
Connecticut,2006,$       23003844,$       19567370,$       20949488,$       18046730,$        2622392,$           1699,$        2118396,$        1845619,$         172745,$        1736261,$        1714128,$          22133,$         521780,$         516639
